sort_id,cluster_id,n_cached_windows,n_valid_dev_pairs,n_stable_pairs,n_failing_pairs,status,start_s,end_s,span_s,reference_end_s,failing_start_s,reference_missing_pct,failing_missing_pct,difference_pp,intervening_windows,dev_interval_index,source_rows,nominal_samples_in_four_fits,historical_samples_in_four_fits,fitted_window_duration_s,KSLabel,ContamPct,source_voltage_exists,template_file_exists
rescue_luke0804_v2v1_g0_imec0,91,38,19.0,5.0,2.0,qualifying_transition,6542.269534723258,8349.025812665532,1806.7562779422733,6721.417114163302,8067.7596749203985,2.335473166111857,37.17643757502382,34.84096440891196,8.0,5.0,"[3388, 3389, 3398, 3399]",4000.0,3996.0,460.3708836176638,good,0.6,True,True
rescue_luke0804_v2v1_g0_imec0,553,19,14.0,7.0,3.0,qualifying_transition,5802.133888235484,6360.328406676924,558.1945184414399,5954.244219856822,5954.280520055284,2.7631390671189315,34.336835195044266,31.573696127925334,0.0,5.0,"[16816, 16817, 16818, 16819]",4000.0,3996.0,558.0476843053311,good,0.7,True,True
rescue_luke0804_v2v1_g0_imec0,452,52,26.0,15.0,3.0,qualifying_transition,3869.575789173073,4198.764755589737,329.18896641666424,3992.419594121072,3992.434360868472,2.1533527772648506,21.189051517259443,19.035698739994594,0.0,3.0,"[11220, 11221, 11222, 11223]",4000.0,3996.0,328.4024954501833,good,1.3,True,True
rescue_luke0804_v2v1_g0_imec0,36,69,22.0,5.0,4.0,qualifying_transition,4085.566570043172,4365.883169263631,280.31659922045947,4217.20982309973,4217.2482233096725,3.0265270307059122,16.429577351056807,13.403050320350895,0.0,3.0,"[1449, 1450, 1451, 1452]",4000.0,3996.0,280.2254653888767,good,1.6,True,True
legacy_luke0804_v2v1_g0_imec0,550,1098,710.0,116.0,26.0,qualifying_transition,7028.858561681397,7283.372519833023,254.51395815162596,7044.689581566471,7250.003504063788,4.113725090028349,34.94443955706852,30.83071446704017,24.0,5.0,"[30316, 30317, 30342, 30343]",4000.0,3996.0,49.17810220106094,good,2.1,False,True
rescue_luke0804_v2v1_g0_imec0,21,27,13.0,4.0,4.0,qualifying_transition,6656.5524262001545,6949.296826699527,292.7444004993722,6795.794054132068,6795.79975416323,1.0545488097196576,20.570035278688852,19.515486468969193,0.0,5.0,"[1034, 1035, 1036, 1037]",4000.0,3996.0,292.6020997213818,good,8.4,True,True
legacy_luke0804_v2v1_g0_imec0,406,55,26.0,13.0,7.0,qualifying_transition,6610.550074694969,7567.862141868335,957.3120671733659,6834.537065948813,7210.733922701502,0.928267225439175,16.866662914295496,15.938395688856321,3.0,5.0,"[18359, 18360, 18364, 18365]",4000.0,3996.0,581.0794435584648,good,10.6,False,True
rescue_luke0804_v2v1_g0_imec0,472,72,27.0,8.0,3.0,qualifying_transition,3755.328231222687,4249.285998467383,493.95776724469624,3983.249110650647,4049.2315047245447,3.025091408200405,28.34116083427852,25.316069426078116,1.0,3.0,"[12633, 12634, 12636, 12637]",4000.0,3996.0,427.59300441363666,good,11.3,True,True
rescue_luke0804_v2v1_g0_imec0,652,35,11.0,5.0,1.0,qualifying_transition,3916.901881248779,4307.955252558703,391.0533713099244,4045.5067510271465,4159.118238833328,1.1206352207969155,21.46772200968448,20.347086788887562,2.0,3.0,"[21325, 21326, 21329, 21330]",4000.0,3996.0,277.2548158143354,good,11.8,True,True
legacy_luke0804_v2v1_g0_imec0,424,52,13.0,2.0,1.0,qualifying_transition,5934.947714358495,6377.845135778149,442.89742141965326,6097.398535846946,6097.42766933956,3.0631628941849645,32.65976369894119,29.59660080475623,0.0,5.0,"[19735, 19736, 19737, 19738]",4000.0,3996.0,442.8422211178595,good,13.2,False,True
legacy_luke0804_v2v1_g0_imec0,356,64,26.0,3.0,3.0,qualifying_transition,6701.743106601085,7189.253471929721,487.510365328636,6845.804760885164,6937.301694452779,2.3993848271126783,21.670553675719187,19.271168848606507,1.0,5.0,"[14328, 14329, 14331, 14332]",4000.0,3996.0,395.73926359541474,good,16.4,False,True
